51.2544248,4.4492767,Ringlaan,186,2170,Antwerpen,Belgium
51.2415862,4.4417487,Sint-Bartholomeusstraat,25,2170,Antwerpen,Belgium
51.24726,4.44364,Terlindenhofstraat,,2170,Antwerpen,Belgium
51.1979354,4.4234775,Berthoutstraat,66,2600,Antwerpen,Belgium
51.190443,4.4424432,Binnenplein,2,2600,Antwerpen,Belgium
51.1805803,4.4336673,Fruithoflaan,4,2600,Antwerpen,Belgium
51.2005442,4.4425029,Gitschotellei,148,2600, ,Belgium
51.200363,4.4441645,Gitschotellei,161,2600,Antwerpen,Belgium
51.1744567,4.3634705,Heidestraat,245,2660,Antwerpen,Belgium
51.1742228,4.3514751,Lelieplaats,15,2660,Antwerpen,Belgium
51.18388,4.34544,Schorrenlaan,4,2660,Antwerpen,Belgium
51.1863419,4.3696019,Weerstandlaan,61,2660,Antwerpen,Belgium
51.2666644,4.525542,Eburonenlei,1,2900,Schoten,Belgium
50.9173871,3.1159207,Meensesteenweg,468/A,8800,Roeselare,Belgium
50.503887,4.469936,,,,,Belgium
